date | value
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2001-01-11 | -1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
2010-07-17 | 0.05
2011-01-03 | 1.0
2011-01-03 | 2.0
2011-02-29 | 3.0
2012-02-29 | 5.0
2013-04-15 | 
2014-05-10 | abc
2015-06-31 | 255.5
2016-07-01 | -0.5
2017-08-15 | 10000000000
2018-13-01 | 50.0
2019-00-10 | 45.0
2020-01-32 | 3.14
2021-02-28 | 50000.99
2022-12-15 | 20000
2023-01-01 | 1000
not-a-date | 123.4
2021-11-31 | 9999.99
2008-11-02 | 23
2022-06-10 12345
2022-06-10 | 32768.0
